Problem Size,Obj,Time,Algorithm,Alpha
problem_2k.0.dat,124601.72510137,120,GRASP,0.7
problem_2k.0.dat,124601.72510137,120,GRASP,0.5
problem_2k.0.dat,125217.27331516,120,GRASP,0.25
problem_2k.0.dat,127703.37050284,120,GRASP,0.10
problem_2k.0.dat,127580.80911406,120,GRASP,0.05
problem_6k.0.dat,489785.3462621,120,GRASP,0.7
problem_6k.0.dat,489785.3462621,120,GRASP,0.5
problem_6k.0.dat,489785.3462621,120,GRASP,0.25
problem_6k.0.dat,489785.3462621,120,GRASP,0.10
problem_6k.0.dat,490978.00022359,120,GRASP,0.05